col_id,emp_id,emp_type,cost,schedule_pattern,in_final_mip,is_selected,reduced_cost
380,3,TypeC,29000,000000000111111000000000000000000000011111100000000000000000000000000001111110000000000000001111100000000000000000000011100000000000000000000000000000000000000000000000,0,0,430504.48231419176
381,4,TypeC,29000,000000000111111000000000000000000000011111100000000000000000000000000001111110000000000000001111100000000000000000000011100000000000000000000000000000000000000000000000,0,0,430504.48231419176
382,0,TypeA,57800,000000001111111111000000000000000000011111111110000000000000000001111111111000000000000000000000111111111100000000000000000000000000011111111110000000000000000000000000,1,0,3932787.111556636
383,1,TypeB,38100,000000011111110000000001111111000000000000000000000000011111111000000000000000000000000000111111100000000000000000000000000000000000000000000000000001111111000000000000,0,0,650250.2935700975
384,2,TypeB,38100,000000011111110000000001111111000000000000000000000000011111111000000000000000000000000000111111100000000000000000000000000000000000000000000000000001111111000000000000,0,0,650250.2935700975
385,3,TypeC,33500,000000001111110000000000000000000000000000011111100000000000000000000000000000001111110000000000000011111100000000000000000000000000011111000000000000000000000000000000,1,0,1302527.7674352005
386,4,TypeC,33500,000000001111110000000000000000000000000000011111100000000000000000000000000000001111110000000000000011111100000000000000000000000000011111000000000000000000000000000000,1,0,1302527.7674352005
387,0,TypeA,56400,000000000000000000000001111111110000000000000000111111111000000000000000000011111111110000000000000000000000000000000000000000111111111100000000000000011111111110000000,0,0,1139548.4032650683
388,1,TypeB,40400,000000000000000000000001111111000000000000000000000000011111111000000000001111111000000000000000000000000111111110000000000000000000000000000000000000011111111000000000,0,0,294411.54231705517
389,2,TypeB,40400,000000000000000000000001111111000000000000000000000000011111111000000000001111111000000000000000000000000111111110000000000000000000000000000000000000011111111000000000,0,0,294411.54231705517
390,3,TypeC,31200,000000000000011111000000000000000000000000011111100000000000000000000000000000000000000000001111100000000000000000000000000000000000011111000000000000000001111110000000,0,0,9.313225746154785e-10
391,4,TypeC,31200,000000000000011111000000000000000000000000011111100000000000000000000000000000000000000000001111100000000000000000000000000000000000011111000000000000000001111110000000,0,0,9.313225746154785e-10
392,0,TypeA,58000,000000000000000000000000000011111111110000000000000000001111111111000000000001111111110000000000000000000000000000000011111111110000000000000011111111110000000000000000,1,0,1351279.8940283526
393,1,TypeB,40400,000000011111110000000001111111000000000000000000000000000000000000011111111000000000000000000000000000000111111110000000000000000000000000000000000000011111111000000000,0,0,251547.35786910728
394,2,TypeB,40400,000000011111110000000001111111000000000000000000000000000000000000011111111000000000000000000000000000000111111110000000000000000000000000000000000000011111111000000000,0,0,251547.35786910728
395,3,TypeC,29500,000000001111110000000000000000000000000000011111100000000000000000000000001111110000000000001111100000000000000000000000000011111000000000000000000000000000000000000000,0,0,11290.94944866281
396,4,TypeC,29500,000000001111110000000000000000000000000000011111100000000000000000000000001111110000000000001111100000000000000000000000000011111000000000000000000000000000000000000000,0,0,11290.94944866281
397,0,TypeA,55900,000000000000000000000001111111111000000000000000000000001111111111000000000001111111110000000000000011111111110000000000000000111111111100000000000000000000000000000000,0,0,1553367.9507375043
398,1,TypeB,40400,000000000000000000000001111111000000000000111111100000000000000000000111111110000000000000000111111110000000000000000000000000001111111100000000000000000000000000000000,0,0,285907.76170700043
399,2,TypeB,40400,000000000000000000000001111111000000000000111111100000000000000000000111111110000000000000000111111110000000000000000000000000001111111100000000000000000000000000000000,0,0,285907.76170700043
400,3,TypeC,27400,111100000000000000000001111000000000000000000000000000000000000000000111111000000000011111100000000000000000000000000000000000000000011111000000000000000000000000000000,0,0,4505451.696978376
401,4,TypeC,27400,111100000000000000000001111000000000000000000000000000000000000000000111111000000000011111100000000000000000000000000000000000000000011111000000000000000000000000000000,0,0,4505451.696978376
402,0,TypeA,55200,000000000000000000000001111111111000000000000000000000011111111000000000000011111111110000000000000000000000000000000000000000111111111100000000000000000000011111111110,0,0,1350968.9388514962
403,1,TypeB,40100,111111110000000000000001111111000000000000000000000000011111111000000000000000000000000000000000000000011111111000000000000000000000000000000000000000000000000011111110,1,0,542477.0012888461
404,2,TypeB,40100,111111110000000000000001111111000000000000000000000000011111111000000000000000000000000000000000000000011111111000000000000000000000000000000000000000000000000011111110,0,0,542477.0012888461
405,3,TypeC,31200,111100000000000000000000000000000000000000000000000000000000000001111110000000000000011111100000000000000111111000000000000000000000011111000000000000000000000000000000,1,0,4959600.716024632
406,4,TypeC,31200,111100000000000000000000000000000000000000000000000000000000000001111110000000000000011111100000000000000111111000000000000000000000011111000000000000000000000000000000,1,0,4959600.716024632
407,0,TypeA,57200,000000000000000000000000000000000000011111111110000000000000000001111111111000000000000000000000000011111111110000000000000000111111111100000000000001111111111000000000,0,0,1390130.474008305
408,1,TypeB,41500,000000000000000000000000000000011111110000000000000000000000000001111111000000000000000000000111111110000000000000000000000000000000000000000011111111000000000011111110,0,0,2163049.563224975
409,2,TypeB,41500,000000000000000000000000000000011111110000000000000000000000000001111111000000000000000000000111111110000000000000000000000000000000000000000011111111000000000011111110,0,0,2163049.563224975
410,3,TypeC,22200,111100000000000000000001111100000000000000000000000000000000000000000000000000000000011111100000000000000000000000000000000000111000000000000000000000000000000000001110,0,0,4067783.445510527
411,4,TypeC,22200,111100000000000000000001111100000000000000000000000000000000000000000000000000000000011111100000000000000000000000000000000000111000000000000000000000000000000000001110,0,0,4067783.445510527
412,0,TypeA,57300,000000000000000000000001111111110000000000000000111111111000000000000000000011111111110000000000000000000000000000000000000000000000011111111110000000000000011111111110,0,0,1715681.2831161395
413,1,TypeB,41500,000000011111111000000000000000011111110000000000000000001111111000000000000000000000000000000000000000000000000000000000000000111111110000000000000001111111000000000000,1,0,1064519.676356865
414,2,TypeB,41500,000000011111111000000000000000011111110000000000000000001111111000000000000000000000000000000000000000000000000000000000000000111111110000000000000001111111000000000000,1,0,1064519.676356865
415,3,TypeC,35900,000000000111111000000000000000000000011111100000000000000000111111000000000000000000011111100000000000000000000000000000000000000000011111000000000000000000000000000000,1,0,1209100.5298582297
416,4,TypeC,35900,000000000111111000000000000000000000011111100000000000000000111111000000000000000000011111100000000000000000000000000000000000000000011111000000000000000000000000000000,1,0,1209100.5298582297
417,0,TypeA,58600,000000000000000000000001111111111000000000000000111111111000000000000000000011111111110000000000000000000000000000000000000000000000011111111110000000000000011111111110,0,0,1716981.2831161395
418,1,TypeB,40200,000000000001111111000000000000000000000000000000000000000000000001111111000000000000011111111000000000000000000000000000000000000000000000000111111100000000000011111110,0,0,3923278.061005298
419,2,TypeB,40200,000000000001111111000000000000000000000000000000000000000000000001111111000000000000011111111000000000000000000000000000000000000000000000000111111100000000000011111110,0,0,3923278.061005298
420,3,TypeC,28700,111100000000000000000000000111111000000000001111100000000000000000000000000000001111110000000000000000000000000000000000000000000000011111000000000000000000000000000000,1,0,2634244.2503222115
